xOut	yOut
0.415371023	0.928605838
0.937456529	0.663690340
0.636822111	0.921540173
0.999979733	-0.043548595
0.854674530	0.854188916
-0.961278608	-0.813768693
-0.892228521	0.853625181
-0.395090052	0.974216725
-0.914752576	-0.952057958
0.963478609	0.696052723
0.848298602	-0.932236355
0.807538872	0.848278334
0.801002798	0.759935702
0.472844851	0.934514214
0.762406697	-0.769143143
-0.632145295	0.821495694
-0.862411498	0.807399711
-0.946565961	-0.565553098
-0.956922371	-0.395730369
-0.836506934	0.794582819
0.904219206	0.704709372
0.563623847	-0.868580693
-0.941805316	-0.529397554
-0.866495809	-0.963569354
-0.897056971	0.828280376
0.959699683	-0.940343862
-0.844140893	0.655466987
-0.518603283	0.933908666
0.474273585	-0.979128709
-0.942698063	-0.575972847
0.486549903	0.953156894
-0.685879200	-0.935421388
-0.807043729	0.922176174
0.698068438	0.814793842
0.787130751	-0.711626534
-0.914816064	-0.898748449
-0.263543524	-0.974691534
-0.538616277	0.874949681
0.952959711	0.551172043
0.777833533	-0.839560257
0.874607830	-0.597327690
-0.801639138	0.960796757
-0.242924039	0.982505864
-0.857558658	0.814719153
0.936596815	0.977419878
-0.645539149	-0.770307779
0.434242761	0.971020586
0.626476331	-0.927362592
-0.842798281	0.645344158
-0.631250948	0.999291076
0.848191669	0.840175896
-0.877471017	0.551502595
0.689007974	0.856618970
0.958329749	-0.471160262
0.520441910	0.888076707
0.807984576	0.677643629
0.895756777	-0.950940470
0.657319602	-0.981714240
0.874904729	0.558891874
0.895069361	0.612534412
-0.925146188	0.600459345
-0.726640656	-0.807629730
0.935144750	0.475390509
-0.731562558	0.780516176
0.891468486	-0.816171796
0.945787352	-0.835172170
-0.774829421	0.770906275
-0.782109112	-0.675343149
0.194168422	0.989611825
-0.902124207	0.659672173
-0.792140169	-0.676953628
0.715093263	-0.787766579
0.612589253	-0.922814199
0.769994018	-0.901100525
0.950027759	-0.826284418
0.984688928	0.876138468
0.944513939	-0.859679052
-0.708119752	0.994509772
-0.961555991	0.905438180
-0.807127298	-0.819672518
-0.526700942	-0.931529817
-0.912372697	0.486391832
0.446174331	0.924943839
0.797161054	-0.852769181
0.982939777	0.489517026
-0.650422879	0.954442528
0.917153344	-0.853261826
-0.623684056	0.856625571
-0.919226989	0.450065974
-0.981140136	0.203825875
-0.934754303	0.516791168
0.826611245	-0.758928444
-0.894989118	0.783217528
-0.893476520	0.629422328
-0.764712203	-0.828230822
0.916368531	0.988823193
0.729028392	0.948210840
0.856582536	-0.825758631
-0.986952703	0.753622184
0.960746834	-0.918281041
-0.744039672	0.972490016
0.879621757	0.585277663
-0.872337797	-0.936473592
-0.889051063	-0.532481495
0.971446405	0.528974945
-0.780653036	0.813566718
-0.496599703	0.868484908
-0.709731708	0.973948758
0.430045748	-0.955231011
0.608534303	-0.811869531
0.776058252	0.888349464
0.986351739	0.836038437
0.708106398	0.988366359
0.983708968	-0.523820058
0.814823227	0.638239560
-0.608163830	0.954006198
-0.868490405	-0.566173787
-0.730135350	0.944574354
0.319271940	0.977971047
0.932940712	-0.760858286
-0.965279787	-0.984764938
0.649266446	-0.981570819
0.755750350	-0.710686415
-0.949190660	0.364925177
-0.791449412	-0.763320865
0.827131933	-0.917436033
-0.894032475	-0.840360592
-0.518468696	0.892021560
0.924695942	-0.937489700
0.981422029	-0.382998040
0.434139299	0.932510848
0.922190910	0.540106824
-0.907849745	0.464058995
0.825588668	0.764906058
0.993618765	0.982024756
0.514736078	-0.990706278
-0.888013104	0.625532518
-0.761686483	0.799744724
0.694894978	-0.966819224
-0.904308924	-0.646275695
-0.713764847	-0.841216212
-0.887906863	0.916497665
0.542030183	0.879207654
0.813524476	-0.948745347
-0.996637319	-0.592433073
0.952662228	-0.765613021
-0.985269322	0.860436902
-0.709122969	0.828255155
0.737470707	-0.683329486
0.685499758	-0.922515856
-0.930403058	-0.776913886
-0.474637014	0.901431865
0.753313890	0.803531107
0.881015252	-0.489651342
0.987627519	-0.621336265
0.845294772	-0.856582464
0.912342329	0.514080741
0.967412109	-0.558835278
0.783115979	0.828617235
0.892699012	0.486670770
-0.886734497	0.821289926
-0.489369306	0.969535372
-0.974947084	-0.372764906
-0.844371177	-0.948107080
0.640387447	-0.955996778
0.847841541	-0.563593617
0.908988617	0.420457550
0.560206888	0.907884465
-0.460462142	0.903719218
0.989979231	0.678982796
-0.869923210	-0.824590859
0.943033483	-0.967975834
0.972764292	-0.547677818
0.772188872	0.708974862
0.990447801	-0.676521735
-0.598282506	0.980427030
-0.997538940	-0.308275113
0.891876115	-0.882206927
0.936334942	0.502653653
-0.981874263	0.648405629
-0.527320239	0.863451258
0.981244332	-0.935740365
0.636759457	0.945708556
-0.875435512	-0.500504005
0.845959428	-0.844884586
-0.945120198	0.726087537
-0.600377818	-0.829303000
-0.854693508	0.642939593
-0.925847853	0.499732396
-0.597719051	0.813038140
0.942070090	-0.882934781
-0.877742881	-0.607980263
-0.989048588	0.943144360
0.945013880	-0.712172707
-0.829603207	-0.839703940
