xOut	yOut
0.741986738	0.734921996
0.961874091	0.864987972
-0.735140054	-0.985030414
0.967570875	0.369482933
-0.869968365	0.610723718
-0.960364245	-0.523140533
0.739497295	-0.814749319
0.829740847	-0.813190805
-0.500752430	-0.982704234
0.953007430	-0.461116675
0.877575972	-0.759253058
0.745618740	0.707316819
-0.924441258	0.571106517
0.920393845	-0.643954549
-0.971641519	-0.995113232
0.747081376	-0.746618266
0.940794774	-0.781688455
-0.776801688	0.908747468
-0.823818831	0.638561437
0.585825980	-0.965448328
0.957668579	-0.641443313
-0.781560183	0.916656065
0.965442752	0.398003441
-0.894054650	0.551268732
0.732176126	0.991096140
-0.928515905	-0.917014801
0.948463557	0.811958990
0.611909533	-0.833096627
0.883087130	-0.786374860
0.673346484	0.848529882
0.758896846	-0.687755542
-0.696659403	-0.722019456
-0.421857001	0.958176853
-0.958837949	-0.759771812
-0.592868438	-0.809798864
-0.567533116	-0.919938329
-0.835916106	0.905315392
-0.800531099	-0.816290063
0.855889416	-0.731736071
0.780817961	-0.850423774
-0.945108383	0.637218285
0.678922000	0.912255533
-0.989068988	-0.396710019
-0.974960897	0.849751422
-0.952585422	-0.757959392
0.901624104	0.720231419
0.932345085	0.505827962
0.989775859	-0.221438334
0.859490086	0.668565176
0.941516233	-0.684838936
-0.260434368	-0.983145573
0.787512505	0.893278995
-0.543596039	-0.957500410
0.905002441	-0.629563143
0.944500583	-0.904537070
0.959744749	0.755817795
0.869221596	-0.583851292
0.918510895	-0.544825152
0.266344364	0.983832856
-0.990665811	-0.200892401
-0.731301750	-0.864514931
-0.951939804	0.668420213
-0.807345016	-0.855691522
0.523287433	0.942572376
0.370387456	-0.936027236
-0.984746735	-0.241118039
-0.867647501	-0.566802894
0.930918964	-0.465027683
-0.522455308	0.853477395
-0.527405989	0.978536255
-0.962031431	0.702425214
-0.762602470	0.707080213
-0.493320780	-0.959035423
0.995854264	-0.441085098
0.824996388	0.968006673
-0.842906575	-0.687711288
0.767784793	0.710230789
-0.613436921	-0.928268631
0.907825884	-0.993929001
0.974077673	-0.335248802
0.385559780	-0.989722206
-0.961785564	0.359637452
0.991461089	0.815260567
0.948134369	0.980920631
-0.886663345	0.880486960
-0.966524591	-0.565051548
0.945465994	-0.949556988
-0.915026245	-0.671392924
0.414919222	-0.914519452
0.874946210	-0.848646925
-0.922848489	0.435272001
-0.201309845	-0.998322716
-0.658166537	-0.856971061
-0.707932306	-0.935408328
-0.773652654	-0.828270147
-0.881684375	0.641266567
-0.742789598	0.993261836
-0.624341385	-0.922635854
0.992433503	0.988503415
-0.959976222	0.991817677
0.898844310	0.675348213
0.983580153	0.672851940
0.902033030	-0.922651193
0.620921719	0.800877339
0.476538514	0.902304153
-0.985557699	-0.520829120
-0.487758191	0.998859927
0.551863783	0.939259711
0.958388754	-0.551130496
-0.764277814	-0.698748915
-0.598586574	-0.950162558
-0.896645872	-0.777588978
0.499850065	-0.983789864
-0.840176528	0.802707597
0.919067443	0.542969039
0.870674412	0.740065039
-0.263898785	0.974028540
0.962476061	0.979070834
-0.820738558	-0.760852984
0.707740082	0.830251525
0.915990245	-0.851360102
0.952389080	0.786664655
0.760693194	0.851180997
-0.929941351	-0.748863641
0.960312798	-0.988413200
0.931342355	-0.437500174
-0.768481140	0.696324924
0.947461283	-0.334972582
0.885623627	-0.522995381
-0.983894806	0.639347456
0.421590609	0.963566476
-0.695625126	-0.757609951
0.638986373	0.906845878
0.932500086	0.527398483
0.736714376	-0.757863693
0.759784885	0.963306055
-0.634590685	0.988954028
0.473033712	0.965570962
0.779047832	0.945374809
-0.844026719	0.538832716
0.826445311	0.565726802
-0.906182102	0.496284235
-0.900041514	0.566851611
0.573445034	0.878446169
-0.955307027	0.370487448
-0.805261847	-0.728538503
0.587835306	0.923548968
0.957070390	-0.961608614
0.667976315	0.761168558
0.641173443	0.919463253
0.501153151	0.880526495
-0.996166941	-0.222026674
0.786946379	-0.902722743
0.977803752	-0.741898036
-0.573659196	0.990133833
0.678823153	0.997648624
-0.732114361	-0.994973130
0.940023931	0.995878426
-0.879506804	-0.526052465
0.593788872	0.881199413
0.877077838	0.788799195
-0.823478447	0.711738913
-0.830458873	0.711479826
-0.874341733	-0.607366379
0.999381129	0.296786472
-0.636130343	-0.868073733
0.912187586	0.977183431
-0.635205431	-0.998080144
-0.664287046	-0.935292548
0.865912172	0.589337109
-0.990458298	-0.805954689
-0.914885588	0.406186973
-0.993151931	-0.626794816
0.605701064	0.947192165
-0.925890759	-0.399969329
0.696609565	-0.810995224
0.888000967	0.706151266
-0.616949913	0.973115379
0.472225048	-0.997273715
-0.522350279	-0.874047073
-0.287325609	0.994452753
0.890506653	-0.900635886
-0.632853475	0.907910109
0.777620337	-0.766816734
0.250445436	0.985215804
0.893125913	0.988218944
-0.778597792	-0.789660547
0.843305943	-0.986684320
-0.660704261	-0.831608503
-0.788037359	-0.991797438
-0.801302478	0.967970903
0.950951531	-0.669495472
-0.978471933	0.706181127
0.538720058	0.902880303
-0.994365255	-0.782772779
-0.938756719	-0.353326134
0.218290088	-0.996132013
-0.670179005	-0.766295000
-0.867737237	-0.719227475
0.986953652	-0.897070414
-0.479388579	-0.937694124
-0.916331131	-0.596066249
-0.921595797	0.674054272
0.936682740	0.427784115
-0.944183058	0.774376825
-0.372813788	-0.986656311
0.909518614	-0.781801678
-0.561550010	-0.873051265
0.935074478	0.708271763
-0.389283961	0.924717275
-0.799765494	-0.628513422
0.813174684	-0.990263352
-0.477591814	0.897697515
0.963034295	-0.617964237
0.425411891	0.966231685
0.953820084	0.558275556
-0.889409570	0.594880824
0.903922019	0.906034329
0.639434775	0.980902441
-0.902340839	0.914998709
-0.838786241	0.698666284
-0.899515375	-0.980802401
-0.945145615	-0.799402554
0.993013981	-0.648644037
-0.886273269	-0.971086645
-0.480062922	-0.924694994
-0.928441421	0.841248024
0.988952731	0.233226116
0.822120842	-0.848642643
-0.977343463	-0.283990353
-0.959614540	-0.564543952
0.708377791	-0.913292197
0.785643292	-0.664450760
0.776938895	0.679302499
-0.914923918	-0.801706842
0.786685556	-0.760839750
0.544921669	0.890106009
0.973527149	0.284216494
-0.965086914	-0.777717315
-0.902286327	0.502710561
-0.631388240	-0.799495479
0.601444501	0.858570452
0.901469976	-0.824525410
-0.977052169	0.545311175
0.591190529	0.834544681
0.966055918	-0.937043851
-0.848725143	0.776411870
-0.496848341	-0.991893659
-0.703710668	-0.721714908
-0.646974719	0.839230661
0.578116359	0.895132687
0.992605085	0.652979437
-0.849614394	-0.788170854
-0.541726519	-0.992051831
-0.641515120	-0.857249201
0.502781101	-0.915881527
0.401695665	-0.943625401
-0.716704520	0.859969146
-0.935677230	0.393838033
0.957771630	-0.429466794
0.767141968	-0.888985062
0.856026237	-0.702238201
0.985557044	0.308801219
-0.817204089	0.851573343
0.767980985	0.857568696
0.799121266	0.707257904
-0.994980297	-0.946794649
-0.793063521	-0.685501771
0.969645731	0.866107817
-0.746992208	-0.904326847
0.824640109	0.700702608
-0.805541521	-0.606151417
-0.755432985	-0.961575106
0.858828355	0.577414927
0.725606245	0.839203937
0.846627794	0.929159112
0.439703372	0.914510160
0.923665755	-0.687373144
-0.849828441	-0.808823030
0.567903319	0.870792121
0.342491992	-0.990700409
-0.528167956	0.969769586
-0.638266065	0.900772511
0.885942238	-0.481907854
-0.951557660	-0.325361103
0.955691740	-0.900182968
-0.999410458	0.870473515
0.814611911	0.886531780
-0.611434339	0.985053217
-0.959635914	-0.642617808
-0.902053902	0.690994813
-0.999399073	-0.526123996
0.977963886	0.622460485
0.743713780	-0.954994049
-0.456243491	-0.903777759
-0.628701554	0.809407342
-0.904055306	0.757613175
0.986079592	0.625658252
-0.707785746	0.910156715
0.955162667	0.514690213
-0.867849725	-0.685328959
0.918870290	-0.573995257
-0.952218089	0.603761738
-0.908389179	-0.663324468
-0.988172257	0.440976748
0.482357188	-0.896561436
0.842743752	0.560817431
-0.972828928	-0.442009390
-0.521795183	-0.964605306
-0.756677721	-0.776046577
0.831975408	0.601702160
-0.403593527	-0.945828466
0.921273878	-0.666354718
0.904809682	0.829880087
-0.968677096	-0.838103651
-0.987579953	0.913657339
0.743537426	-0.746453966
0.921819810	-0.844031942
0.972186809	0.361175194
-0.876235661	0.858845731
-0.991472454	0.416482320
-0.749639640	0.788495658
-0.630845758	-0.985248948
-0.901079655	-0.519959167
-0.590266458	0.998698973
0.447193684	0.914327092
-0.920518558	0.832687283
0.847438334	0.712486867
-0.738806726	-0.948914029
-0.476920241	0.932596595
-0.834784039	0.781863427
0.725510421	0.690597406
-0.973719321	0.416860997
0.507189770	-0.911049872
-0.980018499	-0.505560475
-0.901524617	-0.478950454
-0.672962792	-0.904829326
-0.900213291	-0.581635468
0.729088592	0.905796930
0.998199311	-0.337986613
-0.973576022	-0.368567035
-0.939599046	-0.641875673
0.564864878	0.876835921
-0.842000230	-0.793959419
0.831306414	0.681854509
0.763239918	0.987415940
-0.804296303	-0.786099298
0.485408438	0.973911664
-0.664227641	0.765561971
-0.906606650	0.568416925
0.723717954	-0.692676953
0.937787192	0.958682728
-0.420118786	0.954289743
-0.871267931	-0.907353466
-0.802088863	-0.777874581
-0.457498980	0.935019411
-0.892755369	0.913648685
-0.495196330	-0.954968178
0.872331412	0.949516943
-0.701600114	-0.729747794
-0.549323660	-0.943767697
-0.406789994	-0.922912650
-0.955468411	-0.640928767
0.461061555	0.964710283
-0.876809831	0.549172740
-0.921023678	-0.589623322
-0.971313355	-0.660349322
0.994169039	-0.472133218
0.720548661	-0.961299372
-0.942168628	-0.988560374
0.842921497	-0.859540385
0.672202295	0.824551201
-0.729889238	-0.991515450
0.852443581	-0.904395984
-0.471105244	0.946366842
-0.907805136	0.696451984
0.739035212	-0.847569260
0.507002489	0.954955328
